# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:44:27 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_long.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	long.207.1
5000	-422.8136621771708	-184.94162635724953	-237.87203581992125	-237.87203581992125	9.236476722599999	1998.3935232774002	189.54211632337905	0.5044747953158378	-77.69041673115649
5500	-380.4293665173577	-150.32757378227373	-230.10179273508396	-230.10179273508396	9.236476722599999	1998.3935232774002	189.54211632337905	0.31380679711228304	-75.47492795101634
6000	-360.09650557830946	-138.6944466935896	-221.40205888471982	-221.40205888471982	9.236476722599999	1998.3935232774002	189.54211632337905	0.25527582124314907	-74.46009949754091
6500	-371.74579654844297	-135.9847094923265	-235.7610870561165	-235.7610870561165	9.236476722599999	1998.3935232774002	189.54211632337905	0.4263535738203457	-74.29669680836527
7000	-374.8313055686027	-138.07858924161948	-236.75271632698326	-236.75271632698326	9.236476722599999	1998.3935232774002	189.54211632337905	0.3298860329371629	-74.43061984596872
7500	-391.35699887235944	-142.02025677950738	-249.33674209285203	-249.33674209285203	9.236476722599999	1998.3935232774002	189.54211632337905	0.8279894385768195	-73.79329551671492
8000	-406.97634159362156	-158.221761875986	-248.75457971763552	-248.75457971763552	9.236476722599999	1998.3935232774002	189.54211632337905	0.6719167253292486	-75.06178823381121
8500	-357.9939108956214	-115.55218123215462	-242.44172966346682	-242.44172966346682	9.236476722599999	1998.3935232774002	189.54211632337905	0.2697969849935978	-76.0077251342317
9000	-330.65630819130604	-102.93458373829101	-227.72172445301504	-227.72172445301504	9.236476722599999	1998.3935232774002	189.54211632337905	0.1899827151117445	-75.16111552603388
9500	-405.2058739137622	-155.62980781479288	-249.57606609896933	-249.57606609896933	9.236476722599999	1998.3935232774002	189.54211632337905	0.7171090882205031	-74.91202322085796
10000	-404.75904380448753	-176.42696529802848	-228.33207850645903	-228.33207850645903	9.236476722599999	1998.3935232774002	189.54211632337905	0.36792147451395896	-74.83883234838596
10500	-358.00385225518363	-124.42940914431595	-233.5744431108677	-233.5744431108677	9.236476722599999	1998.3935232774002	189.54211632337905	0.36052202578616843	-75.22694748680075
11000	-419.13304241349795	-173.00776695247708	-246.1252754610209	-246.1252754610209	9.236476722599999	1998.3935232774002	189.54211632337905	0.6354008135473785	-74.74742137216391
11500	-351.91420254901254	-132.1581541799163	-219.75604836909628	-219.75604836909628	9.236476722599999	1998.3935232774002	189.54211632337905	0.18165855957320517	-75.2819494970119
12000	-373.23118647995716	-137.69327475888977	-235.53791172106742	-235.53791172106742	9.236476722599999	1998.3935232774002	189.54211632337905	0.32051930003511525	-72.36866525292355
12500	-344.4975439576237	-111.37862093516212	-233.11892302246156	-233.11892302246156	9.236476722599999	1998.3935232774002	189.54211632337905	0.22382409459881117	-73.09877184595749
13000	-351.97221415362236	-126.37767748120903	-225.5945366724133	-225.5945366724133	9.236476722599999	1998.3935232774002	189.54211632337905	0.28782832990184526	-73.74838631429274
13500	-389.06864717068163	-153.66553313816283	-235.40311403251877	-235.40311403251877	9.236476722599999	1998.3935232774002	189.54211632337905	0.460193303758737	-73.56056788698677
14000	-356.83320445447265	-114.8550296625309	-241.97817479194174	-241.97817479194174	9.236476722599999	1998.3935232774002	189.54211632337905	0.2923645467069689	-76.36139516868707
14500	-394.6524761486099	-140.71850019084715	-253.93397595776273	-253.93397595776273	9.236476722599999	1998.3935232774002	189.54211632337905	0.4065948683391614	-74.81255267706543
15000	-365.27430508579204	-132.23263345562287	-233.04167163016916	-233.04167163016916	9.236476722599999	1998.3935232774002	189.54211632337905	0.2826983890667428	-75.85955272613634
15500	-399.3369167843341	-154.35766116071733	-244.97925562361675	-244.97925562361675	9.236476722599999	1998.3935232774002	189.54211632337905	0.6252232815475851	-73.15654488886634
16000	-419.5106098308705	-179.26391156102778	-240.2466982698427	-240.2466982698427	9.236476722599999	1998.3935232774002	189.54211632337905	0.4919424434704415	-74.9011632320388
16500	-371.03218186967274	-125.11098668789734	-245.92119518177543	-245.92119518177543	9.236476722599999	1998.3935232774002	189.54211632337905	0.3629496540085094	-73.19135076596261
17000	-366.76850173154537	-124.96789239229949	-241.80060933924585	-241.80060933924585	9.236476722599999	1998.3935232774002	189.54211632337905	0.39813340471856157	-73.97307924888086
17500	-395.9181600470519	-149.75207711957117	-246.16608292748074	-246.16608292748074	9.236476722599999	1998.3935232774002	189.54211632337905	0.5163957200525293	-74.11209749981631
18000	-402.4460217716961	-141.59434091907255	-260.8516808526236	-260.8516808526236	9.236476722599999	1998.3935232774002	189.54211632337905	0.830189707285488	-76.14317978674428
18500	-413.2844368981783	-158.99698090467956	-254.28745599349872	-254.28745599349872	9.236476722599999	1998.3935232774002	189.54211632337905	0.4794162266899831	-75.63024725380437
19000	-445.03133067588726	-189.8864444350384	-255.14488624084885	-255.14488624084885	9.236476722599999	1998.3935232774002	189.54211632337905	0.7248323704989121	-76.30852485485609
19500	-401.2174165149604	-162.52566621389784	-238.69175030106257	-238.69175030106257	9.236476722599999	1998.3935232774002	189.54211632337905	0.316634605647567	-74.04198630828417
20000	-368.6534639926595	-133.72982154492826	-234.92364244773125	-234.92364244773125	9.236476722599999	1998.3935232774002	189.54211632337905	0.2641133905178601	-74.15844483575412
20500	-398.39944479293354	-146.2512171974965	-252.14822759543705	-252.14822759543705	9.236476722599999	1998.3935232774002	189.54211632337905	0.511552334943527	-74.31188867600778
