# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:38:24 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_lat.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	lat.207.1
49000	-274.8421130201192	-88.67083269484867	-186.17128032527052	-186.17128032527052	9.236476722599999	1998.3935232774002	189.54211632337905	0.11330869432220185	42.09016083868522
49500	-347.7258828752546	-166.984735588419	-180.74114728683563	-180.74114728683563	9.236476722599999	1998.3935232774002	189.54211632337905	0.1425667928003775	41.63176840703856
50000	-376.12410094085396	-162.87830498295887	-213.24579595789513	-213.24579595789513	9.236476722599999	1998.3935232774002	189.54211632337905	0.24776762321468954	42.19419852413007
50500	-332.1199745007363	-138.38477683128744	-193.73519766944887	-193.73519766944887	9.236476722599999	1998.3935232774002	189.54211632337905	0.2703429450494402	42.12507214062056
51000	-329.486022453836	-141.96479724139385	-187.52122521244212	-187.52122521244212	9.236476722599999	1998.3935232774002	189.54211632337905	0.17151242526729646	41.04149649658259
51500	-335.90404013526137	-154.06845343502889	-181.83558670023248	-181.83558670023248	9.236476722599999	1998.3935232774002	189.54211632337905	0.12583566899021473	40.559393222961475
52000	-320.67829639049774	-128.51029843448657	-192.16799795601116	-192.16799795601116	9.236476722599999	1998.3935232774002	189.54211632337905	0.11093766829208	40.315114890801155
52500	-322.07351150540734	-141.71666326426492	-180.35684824114242	-180.35684824114242	9.236476722599999	1998.3935232774002	189.54211632337905	0.1394466766359321	42.31519596938816
53000	-333.6999425594095	-133.71837130059433	-199.9815712588152	-199.9815712588152	9.236476722599999	1998.3935232774002	189.54211632337905	0.19404916484992593	40.69842979510395
53500	-298.36565227877617	-106.68487585431934	-191.68077642445684	-191.68077642445684	9.236476722599999	1998.3935232774002	189.54211632337905	0.1392404528266429	41.605646710980984
54000	-336.53509533015233	-145.08992865627565	-191.44516667387666	-191.44516667387666	9.236476722599999	1998.3935232774002	189.54211632337905	0.1765409383913168	41.28351795224944
54500	-388.629225496373	-192.8921026681209	-195.73712282825207	-195.73712282825207	9.236476722599999	1998.3935232774002	189.54211632337905	0.2341324851098304	41.78787545133097
55000	-336.2283515890016	-152.20133286164068	-184.0270187273609	-184.0270187273609	9.236476722599999	1998.3935232774002	189.54211632337905	0.13987860592155124	41.41319429179131
55500	-338.0812410692588	-148.1320474925885	-189.9491935766703	-189.9491935766703	9.236476722599999	1998.3935232774002	189.54211632337905	0.17720701517194676	40.14412925172867
56000	-316.48744092385135	-118.21936221150762	-198.26807871234374	-198.26807871234374	9.236476722599999	1998.3935232774002	189.54211632337905	0.12942462531084664	41.68894116564301
56500	-304.08770138809166	-125.07603745012344	-179.01166393796822	-179.01166393796822	9.236476722599999	1998.3935232774002	189.54211632337905	0.12420226265938202	41.01593155638821
57000	-351.09753560452657	-170.39016576096893	-180.70736984355761	-180.70736984355761	9.236476722599999	1998.3935232774002	189.54211632337905	0.14610360489029378	41.12046089819355
57500	-315.9389372570669	-134.7525437509595	-181.18639350610744	-181.18639350610744	9.236476722599999	1998.3935232774002	189.54211632337905	0.11141576726836284	42.189217274871574
58000	-321.44909150070004	-130.7012034413795	-190.74788805932053	-190.74788805932053	9.236476722599999	1998.3935232774002	189.54211632337905	0.1608206156737536	41.18776668860923
58500	-331.97042193658865	-148.0531372212781	-183.91728471531053	-183.91728471531053	9.236476722599999	1998.3935232774002	189.54211632337905	0.18097975328545587	40.796352544735946
59000	-312.6994930294443	-125.45404825744038	-187.2454447720039	-187.2454447720039	9.236476722599999	1998.3935232774002	189.54211632337905	0.10543986928257454	43.14822128718724
59500	-354.0592971800821	-162.40501986104564	-191.65427731903648	-191.65427731903648	9.236476722599999	1998.3935232774002	189.54211632337905	0.21985026320722312	42.38018851070316
60000	-348.86275056382493	-166.87131802546588	-181.99143253835905	-181.99143253835905	9.236476722599999	1998.3935232774002	189.54211632337905	0.15174373671435348	42.37323637872029
60500	-305.7163173000556	-121.47731165248746	-184.23900564756812	-184.23900564756812	9.236476722599999	1998.3935232774002	189.54211632337905	0.12581989417616027	40.55585112590161
61000	-282.57077034045284	-104.46279251299369	-178.10797782745917	-178.10797782745917	9.236476722599999	1998.3935232774002	189.54211632337905	0.08976861874099949	40.96518663571934
61500	-297.1879489579302	-128.46363395953725	-168.72431499839294	-168.72431499839294	9.236476722599999	1998.3935232774002	189.54211632337905	0.08834646399057386	42.06839191939007
62000	-335.43201608186325	-142.58596192502353	-192.84605415683973	-192.84605415683973	9.236476722599999	1998.3935232774002	189.54211632337905	0.17409154358274498	40.3767912508317
62500	-299.90961450116714	-121.63189725916907	-178.27771724199806	-178.27771724199806	9.236476722599999	1998.3935232774002	189.54211632337905	0.12154377982503575	42.548255482467376
63000	-387.56263124253496	-192.35886258090082	-195.20376866163417	-195.20376866163417	9.236476722599999	1998.3935232774002	189.54211632337905	0.2651775910464706	40.88245380497999
63500	-305.03115300826386	-124.71683657364342	-180.31431643462045	-180.31431643462045	9.236476722599999	1998.3935232774002	189.54211632337905	0.06310482452712728	40.91466031455754
64000	-338.0323837060883	-155.8838190917139	-182.1485646143744	-182.1485646143744	9.236476722599999	1998.3935232774002	189.54211632337905	0.14322605097647007	42.50551229751845
64500	-303.29882973781815	-128.64469380210434	-174.6541359357138	-174.6541359357138	9.236476722599999	1998.3935232774002	189.54211632337905	0.10526013378079552	40.729181167269466
65000	-379.1617976572187	-191.68632234487063	-187.47547531234804	-187.47547531234804	9.236476722599999	1998.3935232774002	189.54211632337905	0.16660638109975215	41.39258966002981
65500	-324.10072727307	-145.04743279609238	-179.05329447697758	-179.05329447697758	9.236476722599999	1998.3935232774002	189.54211632337905	0.13470900379096884	40.984214256349524
66000	-362.39192300635216	-165.4055760373358	-196.98634696901635	-196.98634696901635	9.236476722599999	1998.3935232774002	189.54211632337905	0.24581200075420687	40.46048047262585
66500	-349.78265931509856	-165.86768411951954	-183.91497519557902	-183.91497519557902	9.236476722599999	1998.3935232774002	189.54211632337905	0.2006797008092145	42.77595520673378
67000	-356.0725977930933	-168.48548085273853	-187.58711694035475	-187.58711694035475	9.236476722599999	1998.3935232774002	189.54211632337905	0.18388080220022837	43.206480839319696
67500	-296.5325863659099	-122.1689054396112	-174.36368092629868	-174.36368092629868	9.236476722599999	1998.3935232774002	189.54211632337905	0.09980342170455586	41.091431854913765
68000	-357.78103290490765	-166.51456481510925	-191.2664680897984	-191.2664680897984	9.236476722599999	1998.3935232774002	189.54211632337905	0.16225657939630955	39.84186029858792
68500	-352.0573918904175	-162.02719296305844	-190.03019892735904	-190.03019892735904	9.236476722599999	1998.3935232774002	189.54211632337905	0.22329492204895246	41.67356674164219
69000	-345.1637934713241	-149.42024778581091	-195.7435456855132	-195.7435456855132	9.236476722599999	1998.3935232774002	189.54211632337905	0.19886535670376626	39.772938465023906
69500	-352.29287135931577	-160.50369179290746	-191.78917956640834	-191.78917956640834	9.236476722599999	1998.3935232774002	189.54211632337905	0.19018111128590803	41.171900271777425
70000	-328.0358150483811	-160.19577123192127	-167.84004381645983	-167.84004381645983	9.236476722599999	1998.3935232774002	189.54211632337905	0.08746866728870402	42.03389400141156
